06:33:15.902 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:33:15.981 CONFIG | Reading config/auction.xml
06:33:16.042 CONFIG | Reading config/settings_auction.xml
06:33:16.099 CONFIG | Reading config/topology/england.xml
06:33:16.117 CONFIG | Reading tournament/tour2/agents.xml
06:33:16.131 CONFIG | test0
06:33:16.152 CONFIG | test2
06:33:16.152 CONFIG | winning
06:33:16.153 CONFIG | 2751
06:33:16.153 CONFIG | test2
06:33:16.153 CONFIG | winning
06:33:16.154 CONFIG | 2581
06:33:16.154 CONFIG | test2
06:33:16.154 CONFIG | winning
06:33:16.154 CONFIG | test1
06:33:16.154 CONFIG | 2709
06:33:16.155 CONFIG | test2
06:33:16.155 CONFIG | losing
06:33:16.155 CONFIG | test1
06:33:16.155 CONFIG | 2852
06:33:16.155 CONFIG | test2
06:33:16.155 CONFIG | winning
06:33:16.156 CONFIG | test1
06:33:16.156 CONFIG | 3093
06:33:16.156 CONFIG | test2
06:33:16.156 CONFIG | losing
06:33:16.157 CONFIG | test1
06:33:16.157 CONFIG | 2682
06:33:16.157 CONFIG | test2
06:33:16.157 CONFIG | losing
06:33:16.158 CONFIG | test1
06:33:16.158 CONFIG | 2761
06:33:16.158 CONFIG | test2
06:33:16.158 CONFIG | losing
06:33:16.159 CONFIG | test1
06:33:16.159 CONFIG | 2692
06:33:16.159 CONFIG | test2
06:33:16.159 CONFIG | losing
06:33:16.160 CONFIG | test1
06:33:16.160 CONFIG | 2935
06:33:16.160 CONFIG | test2
06:33:16.160 CONFIG | losing
06:33:16.161 CONFIG | test1
06:33:16.161 CONFIG | 2898
06:33:16.162 CONFIG | test2
06:33:16.162 CONFIG | losing
06:33:16.162 CONFIG | test1
06:33:16.162 CONFIG | 2814
06:33:16.162 CONFIG | test2
06:33:16.163 CONFIG | losing
06:33:16.163 CONFIG | test1
06:33:16.163 CONFIG | 2791
06:33:16.163 CONFIG | test2
06:33:16.163 CONFIG | losing
06:33:16.163 CONFIG | test1
06:33:16.164 CONFIG | 2809
06:33:16.164 CONFIG | test2
06:33:16.164 CONFIG | losing
06:33:16.165 CONFIG | test1
06:33:16.165 CONFIG | 2851
06:33:16.166 CONFIG | test2
06:33:16.166 CONFIG | winning
06:33:16.167 CONFIG | test1
06:33:16.167 CONFIG | 2897
06:33:16.168 CONFIG | test2
06:33:16.168 CONFIG | losing
06:33:16.168 CONFIG | test1
06:33:16.168 CONFIG | 2951
06:33:16.168 CONFIG | test2
06:33:16.168 CONFIG | losing
06:33:16.168 CONFIG | test1
06:33:16.169 CONFIG | 2852
06:33:16.169 CONFIG | test2
06:33:16.169 CONFIG | losing
06:33:16.169 CONFIG | test1
06:33:16.169 CONFIG | 2855
06:33:16.169 CONFIG | test2
06:33:16.169 CONFIG | winning
06:33:16.170 CONFIG | test1
06:33:16.170 CONFIG | 2964
06:33:16.170 CONFIG | test2
06:33:16.170 CONFIG | losing
06:33:18.940 CONFIG | test1
06:33:18.940 CONFIG | 3074
06:33:20.393 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:33:20.409 INFO | LogistPlatform finished successfully!
06:33:20.417 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:33:20.518 CONFIG | Reading config/auction.xml
06:33:20.585 CONFIG | Reading config/settings_auction.xml
06:33:20.659 CONFIG | Reading config/topology/england.xml
06:33:20.683 CONFIG | Reading tournament/tour2/agents.xml
06:33:20.702 CONFIG | test0
06:33:20.720 CONFIG | test2
06:33:20.720 CONFIG | winning
06:33:20.721 CONFIG | test1
06:33:20.721 CONFIG | 3415
06:33:20.721 CONFIG | test2
06:33:20.721 CONFIG | losing
06:33:20.721 CONFIG | test1
06:33:20.722 CONFIG | 3688
06:33:20.722 CONFIG | test2
06:33:20.722 CONFIG | losing
06:33:20.722 CONFIG | test1
06:33:20.722 CONFIG | 3650
06:33:20.722 CONFIG | test2
06:33:20.722 CONFIG | losing
06:33:20.723 CONFIG | test1
06:33:20.723 CONFIG | 3688
06:33:20.723 CONFIG | test2
06:33:20.723 CONFIG | losing
06:33:20.724 CONFIG | test1
06:33:20.724 CONFIG | 3810
06:33:20.724 CONFIG | test2
06:33:20.724 CONFIG | losing
06:33:20.724 CONFIG | test1
06:33:20.725 CONFIG | 3618
06:33:20.725 CONFIG | test2
06:33:20.725 CONFIG | losing
06:33:20.725 CONFIG | test1
06:33:20.725 CONFIG | 3674
06:33:20.725 CONFIG | test2
06:33:20.725 CONFIG | losing
06:33:20.726 CONFIG | test1
06:33:20.726 CONFIG | 3523
06:33:20.726 CONFIG | test2
06:33:20.726 CONFIG | winning
06:33:20.727 CONFIG | 3386
06:33:20.727 CONFIG | test2
06:33:20.728 CONFIG | losing
06:33:20.730 CONFIG | test1
06:33:20.730 CONFIG | 3243
06:33:20.731 CONFIG | test2
06:33:20.731 CONFIG | losing
06:33:20.734 CONFIG | test1
06:33:20.734 CONFIG | 3017
06:33:20.735 CONFIG | test2
06:33:20.735 CONFIG | losing
06:33:20.735 CONFIG | test1
06:33:20.735 CONFIG | 3019
06:33:20.735 CONFIG | test2
06:33:20.735 CONFIG | losing
06:33:20.737 CONFIG | test1
06:33:20.737 CONFIG | 2928
06:33:20.738 CONFIG | test2
06:33:20.738 CONFIG | losing
06:33:20.739 CONFIG | test1
06:33:20.740 CONFIG | 2908
06:33:20.740 CONFIG | test2
06:33:20.740 CONFIG | winning
06:33:20.741 CONFIG | test1
06:33:20.741 CONFIG | 2954
06:33:20.741 CONFIG | test2
06:33:20.741 CONFIG | losing
06:33:20.743 CONFIG | test1
06:33:20.743 CONFIG | 2867
06:33:20.743 CONFIG | test2
06:33:20.743 CONFIG | losing
06:33:20.744 CONFIG | test1
06:33:20.744 CONFIG | 2790
06:33:20.744 CONFIG | test2
06:33:20.744 CONFIG | losing
06:33:20.747 CONFIG | test1
06:33:20.747 CONFIG | 2762
06:33:20.747 CONFIG | test2
06:33:20.748 CONFIG | winning
06:33:20.748 CONFIG | test1
06:33:20.748 CONFIG | 2871
06:33:20.748 CONFIG | test2
06:33:20.748 CONFIG | losing
