06:26:35.349 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:26:35.431 CONFIG | Reading config/auction.xml
06:26:35.494 CONFIG | Reading config/settings_auction.xml
06:26:35.559 CONFIG | Reading config/topology/england.xml
06:26:35.579 CONFIG | Reading tournament/tour2/agents.xml
06:26:35.596 CONFIG | test0
06:26:35.611 CONFIG | test2
06:26:35.612 CONFIG | winning
06:26:35.612 CONFIG | 2751
06:26:35.612 CONFIG | test2
06:26:35.612 CONFIG | winning
06:26:35.613 CONFIG | 2581
06:26:35.613 CONFIG | test2
06:26:35.614 CONFIG | winning
06:26:35.614 CONFIG | 2709
06:26:35.614 CONFIG | test2
06:26:35.614 CONFIG | winning
06:26:35.616 CONFIG | 2616
06:26:35.616 CONFIG | test2
06:26:35.616 CONFIG | winning
06:26:35.616 CONFIG | 2859
06:26:35.616 CONFIG | test2
06:26:35.616 CONFIG | winning
06:26:35.617 CONFIG | 2487
06:26:35.617 CONFIG | test2
06:26:35.617 CONFIG | winning
06:26:35.617 CONFIG | 2503
06:26:35.617 CONFIG | test2
06:26:35.618 CONFIG | winning
06:26:35.618 CONFIG | 2369
06:26:35.618 CONFIG | test2
06:26:35.618 CONFIG | losing
06:26:35.619 CONFIG | test1
06:26:35.619 CONFIG | 2721
06:26:35.620 CONFIG | test2
06:26:35.620 CONFIG | winning
06:26:35.621 CONFIG | test1
06:26:35.621 CONFIG | 2775
06:26:35.621 CONFIG | test2
06:26:35.621 CONFIG | losing
06:26:35.621 CONFIG | test1
06:26:35.621 CONFIG | 2631
06:26:35.622 CONFIG | test2
06:26:35.622 CONFIG | winning
06:26:35.622 CONFIG | test1
06:26:35.622 CONFIG | 2667
06:26:35.622 CONFIG | test2
06:26:35.622 CONFIG | losing
06:26:35.623 CONFIG | test1
06:26:35.623 CONFIG | 2637
06:26:35.623 CONFIG | test2
06:26:35.623 CONFIG | losing
06:26:35.623 CONFIG | test1
06:26:35.623 CONFIG | 2598
06:26:35.624 CONFIG | test2
06:26:35.624 CONFIG | winning
06:26:35.624 CONFIG | test1
06:26:35.624 CONFIG | 2706
06:26:35.624 CONFIG | test2
06:26:35.624 CONFIG | losing
06:26:35.625 CONFIG | test1
06:26:35.625 CONFIG | 2678
06:26:35.625 CONFIG | test2
06:26:35.625 CONFIG | winning
06:26:35.626 CONFIG | 2626
06:26:35.626 CONFIG | test2
06:26:35.626 CONFIG | winning
06:26:35.626 CONFIG | test1
06:26:35.626 CONFIG | 2643
06:26:35.626 CONFIG | test2
06:26:35.627 CONFIG | winning
06:26:35.627 CONFIG | test1
06:26:35.627 CONFIG | 2764
06:26:35.627 CONFIG | test2
06:26:35.627 CONFIG | winning
06:26:38.625 CONFIG | test1
06:26:38.625 CONFIG | 2783
06:26:40.057 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:26:40.079 INFO | LogistPlatform finished successfully!
06:26:40.089 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:26:40.169 CONFIG | Reading config/auction.xml
06:26:40.231 CONFIG | Reading config/settings_auction.xml
06:26:40.299 CONFIG | Reading config/topology/england.xml
06:26:40.317 CONFIG | Reading tournament/tour2/agents.xml
06:26:40.334 CONFIG | test0
06:26:40.349 CONFIG | test2
06:26:40.350 CONFIG | winning
06:26:40.351 CONFIG | test1
06:26:40.351 CONFIG | 3415
06:26:40.351 CONFIG | test2
06:26:40.351 CONFIG | winning
06:26:40.352 CONFIG | test1
06:26:40.352 CONFIG | 3688
06:26:40.352 CONFIG | test2
06:26:40.352 CONFIG | winning
06:26:40.352 CONFIG | test1
06:26:40.353 CONFIG | 3650
06:26:40.353 CONFIG | test2
06:26:40.353 CONFIG | winning
06:26:40.353 CONFIG | test1
06:26:40.353 CONFIG | 3688
06:26:40.353 CONFIG | test2
06:26:40.353 CONFIG | winning
06:26:40.354 CONFIG | test1
06:26:40.354 CONFIG | 3810
06:26:40.354 CONFIG | test2
06:26:40.354 CONFIG | winning
06:26:40.355 CONFIG | test1
06:26:40.355 CONFIG | 3618
06:26:40.355 CONFIG | test2
06:26:40.355 CONFIG | winning
06:26:40.355 CONFIG | test1
06:26:40.355 CONFIG | 3674
