06:31:49.452 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:31:49.547 CONFIG | Reading config/auction.xml
06:31:49.626 CONFIG | Reading config/settings_auction.xml
06:31:49.692 CONFIG | Reading config/topology/england.xml
06:31:49.722 CONFIG | Reading tournament/tour2/agents.xml
06:31:49.742 CONFIG | test0
06:31:49.762 CONFIG | test2
06:31:49.763 CONFIG | winning
06:31:49.764 CONFIG | 2751
06:31:49.764 CONFIG | test2
06:31:49.764 CONFIG | winning
06:31:49.764 CONFIG | 2581
06:31:49.765 CONFIG | test2
06:31:49.765 CONFIG | winning
06:31:49.766 CONFIG | test1
06:31:49.767 CONFIG | 2709
06:31:49.767 CONFIG | test2
06:31:49.767 CONFIG | losing
06:31:49.768 CONFIG | test1
06:31:49.768 CONFIG | 2852
06:31:49.768 CONFIG | test2
06:31:49.768 CONFIG | winning
06:31:49.769 CONFIG | test1
06:31:49.769 CONFIG | 3093
06:31:49.769 CONFIG | test2
06:31:49.770 CONFIG | losing
06:31:49.770 CONFIG | test1
06:31:49.770 CONFIG | 2682
06:31:49.770 CONFIG | test2
06:31:49.771 CONFIG | losing
06:31:49.771 CONFIG | test1
06:31:49.771 CONFIG | 2761
06:31:49.771 CONFIG | test2
06:31:49.771 CONFIG | losing
06:31:49.772 CONFIG | test1
06:31:49.772 CONFIG | 2692
06:31:49.772 CONFIG | test2
06:31:49.772 CONFIG | losing
06:31:49.772 CONFIG | test1
06:31:49.772 CONFIG | 2935
06:31:49.773 CONFIG | test2
06:31:49.773 CONFIG | losing
06:31:49.774 CONFIG | test1
06:31:49.774 CONFIG | 2898
06:31:49.774 CONFIG | test2
06:31:49.774 CONFIG | losing
06:31:49.775 CONFIG | test1
06:31:49.775 CONFIG | 2814
06:31:49.775 CONFIG | test2
06:31:49.775 CONFIG | losing
06:31:49.775 CONFIG | test1
06:31:49.775 CONFIG | 2791
06:31:49.775 CONFIG | test2
06:31:49.776 CONFIG | losing
06:31:49.776 CONFIG | test1
06:31:49.776 CONFIG | 2809
06:31:49.776 CONFIG | test2
06:31:49.776 CONFIG | losing
06:31:49.777 CONFIG | test1
06:31:49.777 CONFIG | 2851
06:31:49.777 CONFIG | test2
06:31:49.777 CONFIG | winning
06:31:49.778 CONFIG | test1
06:31:49.778 CONFIG | 2897
06:31:49.778 CONFIG | test2
06:31:49.778 CONFIG | losing
06:31:49.779 CONFIG | test1
06:31:49.779 CONFIG | 2951
06:31:49.779 CONFIG | test2
06:31:49.779 CONFIG | losing
06:31:49.780 CONFIG | 2852
06:31:49.780 CONFIG | test2
06:31:49.780 CONFIG | losing
06:31:49.780 CONFIG | test1
06:31:49.780 CONFIG | 2856
06:31:49.780 CONFIG | test2
06:31:49.780 CONFIG | winning
06:31:49.781 CONFIG | test1
06:31:49.781 CONFIG | 2966
06:31:49.781 CONFIG | test2
06:31:49.782 CONFIG | losing
06:31:53.119 CONFIG | test1
06:31:53.119 CONFIG | 2975
06:31:55.361 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:31:55.379 INFO | LogistPlatform finished successfully!
06:31:55.385 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:31:55.478 CONFIG | Reading config/auction.xml
06:31:55.548 CONFIG | Reading config/settings_auction.xml
06:31:55.607 CONFIG | Reading config/topology/england.xml
06:31:55.627 CONFIG | Reading tournament/tour2/agents.xml
06:31:55.643 CONFIG | test0
06:31:55.659 CONFIG | test2
06:31:55.659 CONFIG | winning
06:31:55.660 CONFIG | test1
06:31:55.660 CONFIG | 3415
06:31:55.660 CONFIG | test2
06:31:55.661 CONFIG | losing
06:31:55.661 CONFIG | test1
06:31:55.661 CONFIG | 3688
06:31:55.661 CONFIG | test2
06:31:55.661 CONFIG | losing
06:31:55.662 CONFIG | test1
06:31:55.662 CONFIG | 3650
06:31:55.662 CONFIG | test2
06:31:55.662 CONFIG | losing
06:31:55.663 CONFIG | test1
06:31:55.663 CONFIG | 3688
06:31:55.663 CONFIG | test2
06:31:55.663 CONFIG | losing
06:31:55.664 CONFIG | test1
06:31:55.664 CONFIG | 3810
06:31:55.664 CONFIG | test2
06:31:55.664 CONFIG | losing
06:31:55.664 CONFIG | test1
06:31:55.665 CONFIG | 3618
06:31:55.665 CONFIG | test2
06:31:55.665 CONFIG | losing
06:31:55.665 CONFIG | test1
06:31:55.665 CONFIG | 3674
06:31:55.665 CONFIG | test2
06:31:55.665 CONFIG | losing
06:31:55.666 CONFIG | test1
06:31:55.666 CONFIG | 3523
06:31:55.666 CONFIG | test2
06:31:55.667 CONFIG | winning
06:31:55.667 CONFIG | 3386
06:31:55.667 CONFIG | test2
06:31:55.668 CONFIG | losing
06:31:55.668 CONFIG | test1
06:31:55.668 CONFIG | 3243
06:31:55.668 CONFIG | test2
06:31:55.669 CONFIG | losing
06:31:55.669 CONFIG | 3017
06:31:55.669 CONFIG | test2
06:31:55.669 CONFIG | losing
06:31:55.669 CONFIG | test1
06:31:55.669 CONFIG | 3080
06:31:55.670 CONFIG | test2
06:31:55.670 CONFIG | losing
06:31:55.670 CONFIG | 2935
06:31:55.670 CONFIG | test2
06:31:55.670 CONFIG | losing
06:31:55.670 CONFIG | test1
06:31:55.671 CONFIG | 2904
06:31:55.671 CONFIG | test2
06:31:55.671 CONFIG | winning
06:31:55.672 CONFIG | test1
06:31:55.672 CONFIG | 2994
06:31:55.672 CONFIG | test2
06:31:55.672 CONFIG | losing
06:31:55.672 CONFIG | test1
06:31:55.672 CONFIG | 2933
06:31:55.674 CONFIG | test2
06:31:55.675 CONFIG | losing
06:31:55.675 CONFIG | test1
06:31:55.675 CONFIG | 2889
06:31:55.675 CONFIG | test2
06:31:55.675 CONFIG | losing
06:31:55.675 CONFIG | test1
06:31:55.675 CONFIG | 2886
06:31:55.675 CONFIG | test2
06:31:55.675 CONFIG | winning
06:31:55.675 CONFIG | test1
06:31:55.675 CONFIG | 3022
06:31:55.675 CONFIG | test2
06:31:55.675 CONFIG | losing
