06:21:45.885 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:21:45.966 CONFIG | Reading config/auction.xml
06:21:46.029 CONFIG | Reading config/settings_auction.xml
06:21:46.099 CONFIG | Reading config/topology/england.xml
06:21:46.120 CONFIG | Reading tournament/tour2/agents.xml
06:21:46.139 CONFIG | test0
06:21:46.155 CONFIG | test2
06:21:46.155 CONFIG | winning
06:21:46.156 CONFIG | test1
06:21:46.156 CONFIG | 2751
06:21:46.156 CONFIG | test2
06:21:46.156 CONFIG | winning
06:21:46.157 CONFIG | test1
06:21:46.157 CONFIG | 2725
06:21:46.157 CONFIG | test2
06:21:46.157 CONFIG | winning
06:21:46.158 CONFIG | test1
06:21:46.158 CONFIG | 2800
06:21:46.158 CONFIG | test2
06:21:46.158 CONFIG | winning
06:21:46.158 CONFIG | test1
06:21:46.159 CONFIG | 2672
06:21:46.159 CONFIG | test2
06:21:46.159 CONFIG | winning
06:21:46.159 CONFIG | test1
06:21:46.159 CONFIG | 2735
06:21:46.159 CONFIG | test2
06:21:46.160 CONFIG | winning
06:21:46.160 CONFIG | test1
06:21:46.160 CONFIG | 2801
06:21:46.160 CONFIG | test2
06:21:46.160 CONFIG | winning
06:21:46.161 CONFIG | test1
06:21:46.161 CONFIG | 2861
06:21:46.161 CONFIG | test2
06:21:46.161 CONFIG | winning
06:21:46.162 CONFIG | test1
06:21:46.162 CONFIG | 2975
06:21:46.162 CONFIG | test2
06:21:46.162 CONFIG | winning
06:21:46.162 CONFIG | test1
06:21:46.162 CONFIG | 3362
06:21:46.163 CONFIG | test2
06:21:46.163 CONFIG | winning
06:21:46.163 CONFIG | test1
06:21:46.163 CONFIG | 3448
06:21:46.163 CONFIG | test2
06:21:46.163 CONFIG | winning
06:21:46.164 CONFIG | test1
06:21:46.164 CONFIG | 3313
06:21:46.164 CONFIG | test2
06:21:46.164 CONFIG | winning
06:21:46.164 CONFIG | test1
06:21:46.164 CONFIG | 3351
06:21:46.164 CONFIG | test2
06:21:46.165 CONFIG | winning
06:21:46.165 CONFIG | test1
06:21:46.165 CONFIG | 3326
06:21:46.165 CONFIG | test2
06:21:46.165 CONFIG | winning
06:21:46.166 CONFIG | test1
06:21:46.166 CONFIG | 3163
06:21:46.166 CONFIG | test2
06:21:46.166 CONFIG | winning
06:21:46.167 CONFIG | test1
06:21:46.167 CONFIG | 3295
06:21:46.167 CONFIG | test2
06:21:46.167 CONFIG | winning
06:21:46.167 CONFIG | test1
06:21:46.167 CONFIG | 3226
06:21:46.167 CONFIG | test2
06:21:46.167 CONFIG | winning
06:21:46.168 CONFIG | test1
06:21:46.168 CONFIG | 3185
06:21:46.168 CONFIG | test2
06:21:46.168 CONFIG | winning
06:21:46.168 CONFIG | test1
06:21:46.168 CONFIG | 3268
06:21:46.169 CONFIG | test2
06:21:46.169 CONFIG | winning
06:21:46.171 CONFIG | test1
06:21:46.171 CONFIG | 3440
06:21:46.171 CONFIG | test2
06:21:46.171 CONFIG | winning
06:21:50.044 CONFIG | test1
06:21:50.044 CONFIG | 3525
06:21:51.671 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:21:51.689 INFO | LogistPlatform finished successfully!
06:21:51.694 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:21:51.791 CONFIG | Reading config/auction.xml
06:21:51.860 CONFIG | Reading config/settings_auction.xml
06:21:51.925 CONFIG | Reading config/topology/england.xml
06:21:51.945 CONFIG | Reading tournament/tour2/agents.xml
06:21:51.962 CONFIG | test0
06:21:51.984 CONFIG | test2
06:21:51.984 CONFIG | winning
06:21:51.985 CONFIG | test1
06:21:51.985 CONFIG | 3415
06:21:51.985 CONFIG | test2
06:21:51.985 CONFIG | winning
06:21:51.986 CONFIG | test1
06:21:51.986 CONFIG | 3688
06:21:51.986 CONFIG | test2
06:21:51.986 CONFIG | winning
06:21:51.987 CONFIG | test1
06:21:51.987 CONFIG | 3650
06:21:51.987 CONFIG | test2
06:21:51.987 CONFIG | winning
06:21:51.988 CONFIG | test1
06:21:51.988 CONFIG | 3688
06:21:51.990 CONFIG | test2
06:21:51.991 CONFIG | winning
06:21:51.991 CONFIG | test1
06:21:51.992 CONFIG | 3810
06:21:51.992 CONFIG | test2
