06:40:22.268 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:40:22.342 CONFIG | Reading config/auction.xml
06:40:22.408 CONFIG | Reading config/settings_auction.xml
06:40:22.473 CONFIG | Reading config/topology/england.xml
06:40:22.497 CONFIG | Reading tournament/tour2/agents.xml
06:40:22.516 CONFIG | test0
06:40:22.535 CONFIG | test2
06:40:22.536 CONFIG | winning
06:40:22.536 CONFIG | 2751
06:40:22.536 CONFIG | test2
06:40:22.537 CONFIG | winning
06:40:22.537 CONFIG | 2581
06:40:22.537 CONFIG | test2
06:40:22.537 CONFIG | winning
06:40:22.538 CONFIG | test1
06:40:22.538 CONFIG | 2709
06:40:22.538 CONFIG | test2
06:40:22.538 CONFIG | losing
06:40:22.538 CONFIG | test1
06:40:22.538 CONFIG | 2852
06:40:22.539 CONFIG | test2
06:40:22.539 CONFIG | winning
06:40:22.539 CONFIG | test1
06:40:22.540 CONFIG | 3093
06:40:22.540 CONFIG | test2
06:40:22.540 CONFIG | losing
06:40:22.540 CONFIG | 2682
06:40:22.540 CONFIG | test2
06:40:22.540 CONFIG | winning
06:40:22.541 CONFIG | 2670
06:40:22.541 CONFIG | test2
06:40:22.541 CONFIG | losing
06:40:22.541 CONFIG | 2515
06:40:22.541 CONFIG | test2
06:40:22.542 CONFIG | losing
06:40:22.542 CONFIG | test1
06:40:22.542 CONFIG | 2851
06:40:22.542 CONFIG | test2
06:40:22.542 CONFIG | losing
06:40:22.543 CONFIG | test1
06:40:22.544 CONFIG | 2892
06:40:22.544 CONFIG | test2
06:40:22.544 CONFIG | losing
06:40:22.544 CONFIG | 2738
06:40:22.544 CONFIG | test2
06:40:22.544 CONFIG | losing
06:40:22.545 CONFIG | test1
06:40:22.545 CONFIG | 2773
06:40:22.545 CONFIG | test2
06:40:22.545 CONFIG | losing
06:40:22.545 CONFIG | 2648
06:40:22.545 CONFIG | test2
06:40:22.546 CONFIG | losing
06:40:22.548 CONFIG | 2608
06:40:22.548 CONFIG | test2
06:40:22.548 CONFIG | losing
06:40:22.549 CONFIG | test1
06:40:22.549 CONFIG | 2715
06:40:22.549 CONFIG | test2
06:40:22.549 CONFIG | losing
06:40:22.550 CONFIG | test1
06:40:22.550 CONFIG | 2686
06:40:22.550 CONFIG | test2
06:40:22.550 CONFIG | losing
06:40:22.551 CONFIG | 2634
06:40:22.551 CONFIG | test2
06:40:22.551 CONFIG | losing
06:40:22.551 CONFIG | test1
06:40:22.552 CONFIG | 2650
06:40:22.552 CONFIG | test2
06:40:22.552 CONFIG | winning
06:40:22.555 CONFIG | test1
06:40:22.555 CONFIG | 2771
06:40:22.555 CONFIG | test2
06:40:22.555 CONFIG | losing
06:40:26.419 CONFIG | test1
06:40:26.419 CONFIG | 2790
06:40:27.919 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:40:27.936 INFO | LogistPlatform finished successfully!
06:40:27.946 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:40:28.028 CONFIG | Reading config/auction.xml
06:40:28.109 CONFIG | Reading config/settings_auction.xml
06:40:28.181 CONFIG | Reading config/topology/england.xml
06:40:28.206 CONFIG | Reading tournament/tour2/agents.xml
06:40:28.225 CONFIG | test0
06:40:28.242 CONFIG | test2
06:40:28.242 CONFIG | winning
06:40:28.243 CONFIG | test1
06:40:28.243 CONFIG | 3415
06:40:28.243 CONFIG | test2
06:40:28.243 CONFIG | losing
06:40:28.244 CONFIG | test1
06:40:28.244 CONFIG | 3688
06:40:28.244 CONFIG | test2
06:40:28.244 CONFIG | losing
06:40:28.245 CONFIG | test1
06:40:28.245 CONFIG | 3650
06:40:28.245 CONFIG | test2
06:40:28.245 CONFIG | losing
06:40:28.245 CONFIG | test1
06:40:28.246 CONFIG | 3688
06:40:28.246 CONFIG | test2
06:40:28.246 CONFIG | losing
06:40:28.246 CONFIG | test1
06:40:28.246 CONFIG | 3810
06:40:28.246 CONFIG | test2
06:40:28.247 CONFIG | losing
06:40:28.247 CONFIG | 3618
06:40:28.247 CONFIG | test2
06:40:28.247 CONFIG | losing
06:40:28.251 CONFIG | 3477
06:40:28.251 CONFIG | test2
06:40:28.251 CONFIG | losing
06:40:28.252 CONFIG | 3186
06:40:28.252 CONFIG | test2
06:40:28.252 CONFIG | winning
06:40:28.254 CONFIG | test1
06:40:28.254 CONFIG | 3406
06:40:28.254 CONFIG | test2
06:40:28.254 CONFIG | losing
06:40:28.255 CONFIG | 3312
06:40:28.255 CONFIG | test2
06:40:28.255 CONFIG | losing
06:40:28.255 CONFIG | test1
06:40:28.255 CONFIG | 3298
06:40:28.255 CONFIG | test2
06:40:28.255 CONFIG | losing
06:40:28.256 CONFIG | 3265
06:40:28.256 CONFIG | test2
06:40:28.256 CONFIG | losing
06:40:28.256 CONFIG | 3194
06:40:28.256 CONFIG | test2
06:40:28.256 CONFIG | losing
06:40:28.257 CONFIG | 3145
06:40:28.257 CONFIG | test2
06:40:28.257 CONFIG | losing
06:40:28.257 CONFIG | test1
06:40:28.258 CONFIG | 3219
06:40:28.258 CONFIG | test2
06:40:28.258 CONFIG | losing
06:40:28.258 CONFIG | 3144
06:40:28.258 CONFIG | test2
06:40:28.258 CONFIG | losing
06:40:28.259 CONFIG | 3101
06:40:28.259 CONFIG | test2
06:40:28.259 CONFIG | losing
06:40:28.259 CONFIG | 3055
06:40:28.259 CONFIG | test2
06:40:28.259 CONFIG | winning
06:40:28.259 CONFIG | test1
06:40:28.260 CONFIG | 3148
06:40:28.260 CONFIG | test2
06:40:28.260 CONFIG | losing
12:32:26.982 INFO | LogistPlatform finished successfully!
