06:30:21.381 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:30:21.471 CONFIG | Reading config/auction.xml
06:30:21.540 CONFIG | Reading config/settings_auction.xml
06:30:21.603 CONFIG | Reading config/topology/england.xml
06:30:21.623 CONFIG | Reading tournament/tour2/agents.xml
06:30:21.642 CONFIG | test0
06:30:21.658 CONFIG | test2
06:30:21.658 CONFIG | winning
06:30:21.659 CONFIG | 2751
06:30:21.660 CONFIG | test2
06:30:21.660 CONFIG | winning
06:30:21.660 CONFIG | 2581
06:30:21.660 CONFIG | test2
06:30:21.661 CONFIG | winning
06:30:21.661 CONFIG | 2709
06:30:21.661 CONFIG | test2
06:30:21.661 CONFIG | winning
06:30:21.663 CONFIG | 2616
06:30:21.663 CONFIG | test2
06:30:21.664 CONFIG | winning
06:30:21.664 CONFIG | 2859
06:30:21.664 CONFIG | test2
06:30:21.664 CONFIG | winning
06:30:21.665 CONFIG | 2487
06:30:21.665 CONFIG | test2
06:30:21.665 CONFIG | winning
06:30:21.666 CONFIG | 2503
06:30:21.666 CONFIG | test2
06:30:21.666 CONFIG | winning
06:30:21.668 CONFIG | 2369
06:30:21.668 CONFIG | test2
06:30:21.668 CONFIG | losing
06:30:21.670 CONFIG | test1
06:30:21.670 CONFIG | 2721
06:30:21.670 CONFIG | test2
06:30:21.670 CONFIG | winning
06:30:21.671 CONFIG | test1
06:30:21.671 CONFIG | 2775
06:30:21.671 CONFIG | test2
06:30:21.671 CONFIG | losing
06:30:21.672 CONFIG | 2631
06:30:21.672 CONFIG | test2
06:30:21.672 CONFIG | winning
06:30:21.673 CONFIG | test1
06:30:21.673 CONFIG | 2676
06:30:21.673 CONFIG | test2
06:30:21.673 CONFIG | winning
06:30:21.673 CONFIG | 2558
06:30:21.674 CONFIG | test2
06:30:21.674 CONFIG | losing
06:30:21.676 CONFIG | 2524
06:30:21.676 CONFIG | test2
06:30:21.676 CONFIG | winning
06:30:21.677 CONFIG | test1
06:30:21.677 CONFIG | 2637
06:30:21.677 CONFIG | test2
06:30:21.677 CONFIG | losing
06:30:21.677 CONFIG | test1
06:30:21.677 CONFIG | 2613
06:30:21.677 CONFIG | test2
06:30:21.678 CONFIG | winning
06:30:21.678 CONFIG | 2565
06:30:21.678 CONFIG | test2
06:30:21.678 CONFIG | winning
06:30:21.678 CONFIG | 2585
06:30:21.678 CONFIG | test2
06:30:21.678 CONFIG | winning
06:30:21.679 CONFIG | 2709
06:30:21.679 CONFIG | test2
06:30:21.679 CONFIG | winning
06:30:25.380 CONFIG | test1
06:30:25.380 CONFIG | 2831
06:30:27.697 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:30:27.717 INFO | LogistPlatform finished successfully!
06:30:27.724 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:30:27.812 CONFIG | Reading config/auction.xml
06:30:27.882 CONFIG | Reading config/settings_auction.xml
06:30:27.940 CONFIG | Reading config/topology/england.xml
06:30:27.960 CONFIG | Reading tournament/tour2/agents.xml
06:30:27.979 CONFIG | test0
06:30:27.995 CONFIG | test2
06:30:27.995 CONFIG | winning
06:30:27.996 CONFIG | test1
06:30:27.996 CONFIG | 3415
06:30:27.996 CONFIG | test2
06:30:27.997 CONFIG | winning
06:30:27.997 CONFIG | test1
06:30:27.997 CONFIG | 3688
06:30:27.997 CONFIG | test2
06:30:27.997 CONFIG | winning
06:30:27.998 CONFIG | test1
06:30:27.998 CONFIG | 3650
06:30:27.998 CONFIG | test2
06:30:27.998 CONFIG | winning
06:30:27.999 CONFIG | test1
06:30:27.999 CONFIG | 3688
06:30:27.999 CONFIG | test2
06:30:27.999 CONFIG | winning
06:30:28.001 CONFIG | test1
06:30:28.001 CONFIG | 3810
06:30:28.001 CONFIG | test2
06:30:28.002 CONFIG | winning
06:30:28.003 CONFIG | test1
06:30:28.003 CONFIG | 3618
06:30:28.003 CONFIG | test2
06:30:28.003 CONFIG | winning
06:30:28.004 CONFIG | test1
06:30:28.004 CONFIG | 3674
06:30:28.004 CONFIG | test2
06:30:28.004 CONFIG | winning
06:30:28.005 CONFIG | test1
06:30:28.005 CONFIG | 3523
06:30:28.005 CONFIG | test2
06:30:28.005 CONFIG | winning
06:30:28.006 CONFIG | 3386
06:30:28.006 CONFIG | test2
06:30:28.006 CONFIG | winning
06:30:28.007 CONFIG | 3243
06:30:28.008 CONFIG | test2
06:30:28.008 CONFIG | winning
06:30:28.009 CONFIG | test1
06:30:28.009 CONFIG | 3235
06:30:28.010 CONFIG | test2
06:30:28.010 CONFIG | winning
06:30:28.011 CONFIG | 3207
06:30:28.011 CONFIG | test2
06:30:28.011 CONFIG | winning
06:30:28.012 CONFIG | test1
06:30:28.012 CONFIG | 3141
06:30:28.012 CONFIG | test2
06:30:28.013 CONFIG | winning
06:30:28.013 CONFIG | 3066
06:30:28.013 CONFIG | test2
06:30:28.013 CONFIG | winning
06:30:28.014 CONFIG | test1
06:30:28.014 CONFIG | 3146
06:30:28.014 CONFIG | test2
06:30:28.015 CONFIG | winning
06:30:28.017 CONFIG | test1
06:30:28.017 CONFIG | 3075
06:30:28.017 CONFIG | test2
06:30:28.018 CONFIG | winning
06:30:28.018 CONFIG | 3023
06:30:28.018 CONFIG | test2
06:30:28.018 CONFIG | winning
06:30:28.018 CONFIG | 2981
06:30:28.018 CONFIG | test2
06:30:28.018 CONFIG | winning
06:30:28.018 CONFIG | 3078
06:30:28.018 CONFIG | test2
06:30:28.018 CONFIG | winning
