06:38:53.152 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:38:53.247 CONFIG | Reading config/auction.xml
06:38:53.322 CONFIG | Reading config/settings_auction.xml
06:38:53.391 CONFIG | Reading config/topology/england.xml
06:38:53.409 CONFIG | Reading tournament/tour2/agents.xml
06:38:53.426 CONFIG | test0
06:38:53.445 CONFIG | test2
06:38:53.446 CONFIG | winning
06:38:53.447 CONFIG | 2751
06:38:53.447 CONFIG | test2
06:38:53.447 CONFIG | winning
06:38:53.447 CONFIG | 2581
06:38:53.448 CONFIG | test2
06:38:53.448 CONFIG | winning
06:38:53.448 CONFIG | test1
06:38:53.448 CONFIG | 2709
06:38:53.448 CONFIG | test2
06:38:53.448 CONFIG | losing
06:38:53.449 CONFIG | test1
06:38:53.449 CONFIG | 2852
06:38:53.449 CONFIG | test2
06:38:53.449 CONFIG | winning
06:38:53.450 CONFIG | test1
06:38:53.450 CONFIG | 3093
06:38:53.450 CONFIG | test2
06:38:53.450 CONFIG | losing
06:38:53.450 CONFIG | 2682
06:38:53.450 CONFIG | test2
06:38:53.450 CONFIG | winning
06:38:53.451 CONFIG | 2670
06:38:53.451 CONFIG | test2
06:38:53.451 CONFIG | losing
06:38:53.451 CONFIG | 2515
06:38:53.452 CONFIG | test2
06:38:53.452 CONFIG | losing
06:38:53.452 CONFIG | test1
06:38:53.452 CONFIG | 2851
06:38:53.453 CONFIG | test2
06:38:53.453 CONFIG | losing
06:38:53.454 CONFIG | test1
06:38:53.454 CONFIG | 2892
06:38:53.454 CONFIG | test2
06:38:53.454 CONFIG | losing
06:38:53.455 CONFIG | 2738
06:38:53.455 CONFIG | test2
06:38:53.455 CONFIG | losing
06:38:53.455 CONFIG | test1
06:38:53.456 CONFIG | 2773
06:38:53.456 CONFIG | test2
06:38:53.456 CONFIG | losing
06:38:53.456 CONFIG | 2648
06:38:53.456 CONFIG | test2
06:38:53.456 CONFIG | losing
06:38:53.457 CONFIG | 2608
06:38:53.457 CONFIG | test2
06:38:53.457 CONFIG | losing
06:38:53.458 CONFIG | test1
06:38:53.458 CONFIG | 2715
06:38:53.458 CONFIG | test2
06:38:53.458 CONFIG | losing
06:38:53.458 CONFIG | test1
06:38:53.458 CONFIG | 2686
06:38:53.458 CONFIG | test2
06:38:53.458 CONFIG | losing
06:38:53.459 CONFIG | 2634
06:38:53.459 CONFIG | test2
06:38:53.459 CONFIG | losing
06:38:53.460 CONFIG | test1
06:38:53.460 CONFIG | 2650
06:38:53.460 CONFIG | test2
06:38:53.460 CONFIG | winning
06:38:53.463 CONFIG | test1
06:38:53.465 CONFIG | 2771
06:38:53.465 CONFIG | test2
06:38:53.465 CONFIG | losing
06:38:59.414 CONFIG | test1
06:38:59.416 CONFIG | 2790
06:39:00.856 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:39:00.873 INFO | LogistPlatform finished successfully!
06:39:00.879 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:39:00.974 CONFIG | Reading config/auction.xml
06:39:01.039 CONFIG | Reading config/settings_auction.xml
06:39:01.105 CONFIG | Reading config/topology/england.xml
06:39:01.131 CONFIG | Reading tournament/tour2/agents.xml
06:39:01.151 CONFIG | test0
06:39:01.171 CONFIG | test2
06:39:01.171 CONFIG | winning
06:39:01.172 CONFIG | test1
06:39:01.172 CONFIG | 3415
06:39:01.172 CONFIG | test2
06:39:01.172 CONFIG | losing
06:39:01.172 CONFIG | test1
06:39:01.172 CONFIG | 3688
06:39:01.172 CONFIG | test2
06:39:01.173 CONFIG | losing
06:39:01.173 CONFIG | test1
06:39:01.173 CONFIG | 3650
06:39:01.173 CONFIG | test2
06:39:01.173 CONFIG | losing
06:39:01.174 CONFIG | test1
06:39:01.174 CONFIG | 3688
06:39:01.174 CONFIG | test2
06:39:01.174 CONFIG | losing
06:39:01.175 CONFIG | test1
06:39:01.175 CONFIG | 3810
06:39:01.175 CONFIG | test2
06:39:01.175 CONFIG | losing
06:39:01.179 CONFIG | 3618
06:39:01.179 CONFIG | test2
06:39:01.180 CONFIG | losing
06:39:01.181 CONFIG | 3477
06:39:01.181 CONFIG | test2
06:39:01.181 CONFIG | losing
06:39:01.187 CONFIG | 3186
06:39:01.187 CONFIG | test2
06:39:01.187 CONFIG | winning
06:39:01.190 CONFIG | test1
06:39:01.190 CONFIG | 3406
06:39:01.190 CONFIG | test2
06:39:01.190 CONFIG | losing
06:39:01.191 CONFIG | 3312
06:39:01.191 CONFIG | test2
06:39:01.192 CONFIG | losing
06:39:01.192 CONFIG | test1
06:39:01.193 CONFIG | 3298
06:39:01.193 CONFIG | test2
06:39:01.193 CONFIG | losing
06:39:01.194 CONFIG | 3265
06:39:01.194 CONFIG | test2
06:39:01.194 CONFIG | losing
06:39:01.195 CONFIG | 3194
06:39:01.195 CONFIG | test2
06:39:01.195 CONFIG | losing
06:39:01.196 CONFIG | 3145
06:39:01.196 CONFIG | test2
06:39:01.196 CONFIG | losing
06:39:01.197 CONFIG | test1
06:39:01.198 CONFIG | 3219
06:39:01.199 CONFIG | test2
06:39:01.200 CONFIG | losing
06:39:01.201 CONFIG | 3144
06:39:01.201 CONFIG | test2
06:39:01.201 CONFIG | losing
06:39:01.202 CONFIG | 3101
06:39:01.202 CONFIG | test2
06:39:01.202 CONFIG | losing
06:39:01.203 CONFIG | 3055
06:39:01.203 CONFIG | test2
06:39:01.203 CONFIG | winning
06:39:01.203 CONFIG | test1
06:39:01.204 CONFIG | 3148
06:39:01.204 CONFIG | test2
06:39:01.204 CONFIG | losing
12:32:30.013 INFO | LogistPlatform finished successfully!
