06:23:46.588 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-random-test agent-main-44-test-222
06:23:46.667 CONFIG | Reading config/auction.xml
06:23:46.735 CONFIG | Reading config/settings_auction.xml
06:23:46.791 CONFIG | Reading config/topology/england.xml
06:23:46.813 CONFIG | Reading tournament/tour2/agents.xml
06:23:46.833 CONFIG | test0
06:23:46.853 CONFIG | test2
06:23:46.853 CONFIG | winning
06:23:46.853 CONFIG | test1
06:23:46.854 CONFIG | 2751
06:23:46.854 CONFIG | test2
06:23:46.854 CONFIG | winning
06:23:46.854 CONFIG | 2725
06:23:46.854 CONFIG | test2
06:23:46.855 CONFIG | losing
06:23:46.855 CONFIG | test1
06:23:46.855 CONFIG | 2806
06:23:46.855 CONFIG | test2
06:23:46.855 CONFIG | losing
06:23:46.856 CONFIG | test1
06:23:46.856 CONFIG | 2924
06:23:46.856 CONFIG | test2
06:23:46.856 CONFIG | winning
06:23:46.857 CONFIG | test1
06:23:46.857 CONFIG | 3151
06:23:46.857 CONFIG | test2
06:23:46.857 CONFIG | winning
06:23:46.857 CONFIG | 2730
06:23:46.857 CONFIG | test2
06:23:46.857 CONFIG | winning
06:23:46.858 CONFIG | 2711
06:23:46.858 CONFIG | test2
06:23:46.858 CONFIG | winning
06:23:46.858 CONFIG | 2551
06:23:46.858 CONFIG | test2
06:23:46.858 CONFIG | losing
06:23:46.859 CONFIG | test1
06:23:46.859 CONFIG | 2884
06:23:46.859 CONFIG | test2
06:23:46.859 CONFIG | winning
06:23:46.860 CONFIG | test1
06:23:46.860 CONFIG | 2921
06:23:46.860 CONFIG | test2
06:23:46.860 CONFIG | losing
06:23:46.861 CONFIG | 2764
06:23:46.861 CONFIG | test2
06:23:46.861 CONFIG | winning
06:23:46.862 CONFIG | test1
06:23:46.862 CONFIG | 2797
06:23:46.862 CONFIG | test2
06:23:46.862 CONFIG | winning
06:23:46.862 CONFIG | 2670
06:23:46.862 CONFIG | test2
06:23:46.863 CONFIG | losing
06:23:46.863 CONFIG | 2628
06:23:46.863 CONFIG | test2
06:23:46.863 CONFIG | winning
06:23:46.867 CONFIG | test1
06:23:46.867 CONFIG | 2734
06:23:46.867 CONFIG | test2
06:23:46.867 CONFIG | losing
06:23:46.869 CONFIG | 2704
06:23:46.869 CONFIG | test2
06:23:46.869 CONFIG | winning
06:23:46.870 CONFIG | 2662
06:23:46.870 CONFIG | test2
06:23:46.870 CONFIG | winning
06:23:46.870 CONFIG | test1
06:23:46.870 CONFIG | 2677
06:23:46.870 CONFIG | test2
06:23:46.870 CONFIG | winning
06:23:46.871 CONFIG | test1
06:23:46.871 CONFIG | 2796
06:23:46.876 CONFIG | test2
06:23:46.876 CONFIG | winning
06:23:49.865 CONFIG | test1
06:23:49.865 CONFIG | 2814
06:23:51.995 CONFIG | Wrote tournament/tour2/auction-agent-random-test-agent-main-44-test-222.xml
06:23:52.013 INFO | LogistPlatform finished successfully!
06:23:52.019 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-random-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-random-test
06:23:52.124 CONFIG | Reading config/auction.xml
06:23:52.204 CONFIG | Reading config/settings_auction.xml
06:23:52.275 CONFIG | Reading config/topology/england.xml
06:23:52.300 CONFIG | Reading tournament/tour2/agents.xml
06:23:52.320 CONFIG | test0
06:23:52.336 CONFIG | test2
06:23:52.336 CONFIG | winning
06:23:52.337 CONFIG | test1
06:23:52.337 CONFIG | 3415
06:23:52.337 CONFIG | test2
06:23:52.337 CONFIG | winning
06:23:52.338 CONFIG | test1
06:23:52.338 CONFIG | 3688
06:23:52.338 CONFIG | test2
06:23:52.338 CONFIG | winning
06:23:52.339 CONFIG | 3650
06:23:52.339 CONFIG | test2
06:23:52.339 CONFIG | winning
06:23:52.339 CONFIG | 3295
06:23:52.340 CONFIG | test2
06:23:52.340 CONFIG | winning
06:23:52.340 CONFIG | test1
06:23:52.340 CONFIG | 3325
06:23:52.340 CONFIG | test2
06:23:52.340 CONFIG | losing
06:23:52.341 CONFIG | 3055
06:23:52.341 CONFIG | test2
06:23:52.341 CONFIG | winning
06:23:52.342 CONFIG | 2994
06:23:52.342 CONFIG | test2
06:23:52.342 CONFIG | winning
06:23:52.343 CONFIG | 2763
06:23:52.343 CONFIG | test2
06:23:52.343 CONFIG | winning
06:23:52.345 CONFIG | test1
06:23:52.345 CONFIG | 3031
06:23:52.345 CONFIG | test2
06:23:52.346 CONFIG | winning
06:23:52.346 CONFIG | 2974
06:23:52.346 CONFIG | test2
06:23:52.347 CONFIG | losing
06:23:52.347 CONFIG | test1
06:23:52.347 CONFIG | 2991
06:23:52.347 CONFIG | test2
06:23:52.347 CONFIG | winning
06:23:52.348 CONFIG | 2983
06:23:52.348 CONFIG | test2
06:23:52.348 CONFIG | losing
06:23:52.348 CONFIG | 2934
06:23:52.349 CONFIG | test2
06:23:52.349 CONFIG | winning
06:23:52.349 CONFIG | 2904
06:23:52.349 CONFIG | test2
06:23:52.349 CONFIG | winning
06:23:52.350 CONFIG | test1
06:23:52.350 CONFIG | 2994
06:23:52.350 CONFIG | test2
06:23:52.350 CONFIG | losing
06:23:52.351 CONFIG | 2932
06:23:52.351 CONFIG | test2
06:23:52.351 CONFIG | winning
06:23:52.351 CONFIG | 2902
06:23:52.351 CONFIG | test2
06:23:52.351 CONFIG | winning
06:23:52.352 CONFIG | 2867
06:23:52.352 CONFIG | test2
06:23:52.352 CONFIG | winning
06:23:52.352 CONFIG | test1
06:23:52.353 CONFIG | 2970
06:23:52.353 CONFIG | test2
06:23:52.353 CONFIG | winning
